ObjID ra dec z
"2MASX J00191803-0017376" 4.824958324432373 -0.29374998807907104 0.112851 1
"SDSS J001951.05-004347.0" 4.96274995803833 -0.7297222018241882 0.069118 1

"2MASX J00201841+0010310" 5.076666831970215 0.17524999380111694 0.085547 1
"2MASX J00202255-0018522" 5.093916893005371 -0.3146388828754425 0.207969 1

"SDSS J002034.97-000721.7" 5.145750045776367 -0.12269444763660431 0.062715 1
"2MASX J00204016-0102019" 5.167416572570801 -1.033833384513855 0.107097 1
"SDSS J002119.53-005710.7" 5.331416606903076 -0.9529722332954407 0.107442 1
"2MASX J00223456-0113252" 5.643958568572998 -1.223638892173767 0.083769 1

"2MASX J00225233+0045558" 5.7179999351501465 0.7656111121177673 0.070289 1
"2MASX J00231605+0111069" 5.816916465759277 1.1854166984558105 0.158595 1
"2MASX J00251163+0004462" 6.298375129699707 0.0794166699051857 0.108703 1

"2MASX J00251159+0057462" 6.298375129699707 0.9627777934074402 0.083022 1
"SDSS J002517.89-004234.5" 6.324583530426025 -0.7095833420753479 0.164555 1
"SDSS 0025-10" 6.3810834884643555 -10.672833442687988 0.30349 1

"2MASX J00264553-0103090" 6.6897501945495605 -1.0523889064788818 0.06758 1
"4C +00.03" 7.139249801635742 0.9197221994400024 0.104342 1

"SDSS J002928.97+143342.8" 7.3707499504089355 14.561888694763184 0.143124 1
"SDSS J002935.32+154307.9" 7.397166728973389 15.718889236450195 0.142046 1
"SDSS J003002.89-005306.6" 7.512083530426025 -0.8851666450500488 0.059988 1

"2MASXi J0030549-001942" 7.7287917137146 -0.32830554246902466 0.121904 1
"2MASX J00310879-0001062" 7.786708354949951 -0.018583333119750023 0.118525 1
"SDSS J003128.08+143300.6" 7.867083549499512 14.55019474029541 0.211489 1

"2MASX J00321163+1515202" 8.048417091369629 15.255499839782715 0.104495 1
"SDSS J003216.74+152802.6" 8.06974983215332 15.467416763305664 0.197033 1
"SDSS J003241.04+011159.3" 8.171041488647461 1.199805498123169 0.081722 1
"2MASX J00335157-0044318" 8.465042114257812 -0.7422778010368347 0.095178 1

"SDSS J003356.44-004521.5" 8.485166549682617 -0.7559999823570251 0.173799 1
"2MASX J00335797-0021268" 8.491541862487793 -0.3573611080646515 0.082796 1
